Regionalschluessel;Name;Breitengrad;Laengengrad
010010000000;Flensburg;54.78496;9.438435
010020000000;Kiel;54.324776;10.132517
010030000000;Lübeck;53.872491;10.727598
010040000000;Neumünster;54.081127;9.984658
010510011011;Brunsbüttel;53.911161;9.13048
010510044044;Heide;54.193146;9.132345
010515163003;Averlak;53.943105;9.195787
010515163010;Brickeln;54.009422;9.237587
010515163012;Buchholz;53.979447;9.228756
010515163016;Burg (Dithmarschen);53.995088;9.269736
010515163022;Dingen;53.961728;9.127993
010515163024;Eddelak;53.949306;9.141849
010515163026;Eggstedt;54.056639;9.262084
010515163032;Frestedt;54.026634;9.178109
010515163037;Großenrade;54.027999;9.238156
010515163051;Hochdonn;54.022484;9.28724
010515163064;Kuden;53.968806;9.19706
010515163089;Quickborn;54.000422;9.184798
010515163097;Sankt Michaelisdonn;53.992214;9.125482
010515163110;Süderhastedt;54.054359;9.208063
010515166021;Diekhusen-Fahrstedt;53.940439;9.027787
010515166034;Friedrichskoog;54.005705;8.90061
010515166046;Helse;53.974665;9.016834
010515166057;Kaiser-Wilhelm-Koog;53.935252;8.935427
010515166062;Kronprinzenkoog;53.978172;8.970937
010515166072;Marne;53.954985;9.015587
010515166073;Marnerdeich;53.949333;8.988656
010515166076;Neufeld;53.92277;9.028615
010515166077;Neufelderkoog;53.905383;8.982451
010515166090;Ramhusen;53.940844;9.084301
010515166103;Schmedeswurth;53.928741;9.041318
010515166118;Trennewurth;54.000713;9.017575
010515166119;Volsemenhusen;53.972143;9.071073
010515169005;Barkenholm;54.22853;9.181081
010515169008;Bergewöhrden;54.317388;9.211389
010515169019;Dellstedt;54.24314;9.388834
010515169020;Delve;54.313351;9.251655
010515169023;Dörpling;54.256459;9.319468
010515169030;Fedderingen;54.281023;9.117163
010515169035;Gaushorn;54.195846;9.217682
010515169036;Glüsing;54.270723;9.226884
010515169038;Groven;54.315427;8.999045
010515169047;Hemme;54.274363;9.004212
010515169049;Hennstedt;54.296886;9.176514
010515169052;Hövede;54.241758;9.289433
010515169053;Hollingstedt;54.297729;9.22152
010515169058;Karolinenkoog;54.292831;8.952745
010515169060;Kleve;54.318086;9.131935
010515169061;Krempel;54.316499;9.03897
010515169065;Lehe;54.35404;9.018912
010515169068;Linden;54.253378;9.196829
010515169071;Lunden;54.329126;9.041053
010515169080;Norderheistedt;54.249228;9.135805
010515169088;Pahlen;54.267668;9.290039
010515169092;Rehm-Flehde-Bargen;54.29315;9.048081
010515169096;Sankt Annen;54.347575;9.082945
010515169100;Schalkholz;54.243919;9.247171
010515169102;Schlichting;54.312617;9.095594
010515169114;Tellingstedt;54.22035;9.276877
010515169117;Tielenhemme;54.271903;9.372627
010515169120;Wallen;54.28114;9.266731
010515169125;Welmbüttel;54.200925;9.246304
010515169131;Westerborstel;54.218198;9.245469
010515169133;Wiemerstedt;54.267153;9.120279
010515169136;Wrohm;54.215096;9.400557
010515169139;Süderdorf;54.211249;9.339543
010515169141;Süderheistedt;54.240073;9.150296
010515172048;Hemmingstedt;54.149911;9.094666
010515172067;Lieth;54.158164;9.061679
010515172069;Lohe-Rickelshof;54.182954;9.067312
010515172075;Neuenkirchen;54.234611;9.00417
010515172081;Norderwöhrden;54.189982;9.009417
010515172082;Nordhastedt;54.164679;9.180391
010515172087;Ostrohe;54.217684;9.13137
010515172107;Stelle-Wittenwurth;54.258119;9.060651
010515172113;Wöhrden;54.160617;9.009408
010515172122;Weddingstedt;54.236333;9.090445
010515172130;Wesseln;54.214596;9.067365
010515175001;Albersdorf;54.135067;9.280188
010515175002;Arkebek;54.16157;9.253066
010515175004;Bargenstedt;54.09759;9.160384
010515175006;Barlt;54.01948;9.04431
010515175015;Bunsoh;54.16036;9.32369
010515175017;Busenwurth;54.04139;9.035955
010515175027;Elpersbüttel;54.06762;9.024781
010515175028;Epenwöhrden;54.120994;9.079772
010515175039;Gudendorf;54.024867;9.110391
010515175054;Immenstedt;54.179418;9.300693
010515175063;Krumstedt;54.075727;9.192516
010515175074;Meldorf;54.097624;9.064932
010515175078;Nindorf;54.085488;9.128337
010515175083;Odderade;54.142768;9.194564
010515175085;Offenbüttel;54.171491;9.388057
010515175086;Osterrade;54.189832;9.377323
010515175098;Sarzbüttel;54.119857;9.178296
010515175099;Schafstedt;54.082557;9.291731
010515175104;Schrum;54.181274;9.26642
010515175126;Wennbüttel;54.142004;9.326005
010515175134;Windbergen;54.043089;9.127151
010515175135;Wolmersdorf;54.073026;9.108825
010515175137;Nordermeldorf;54.118655;8.998743
010515175138;Tensbüttel-Röst;54.112146;9.239206
010515178013;Büsum;54.13887;8.859462
010515178014;Büsumer Deichhausen;54.140848;8.896248
010515178033;Friedrichsgabekoog;54.15248;8.945522
010515178043;Hedwigenkoog;54.181189;8.845151
010515178045;Hellschen-Heringsand-Unterschaar;54.201628;8.859774
010515178050;Hillgroven;54.22291;8.871855
010515178079;Norddeich;54.22161;8.898105
010515178084;Oesterdeichstrich;54.159016;8.899648
010515178093;Reinsbüttel;54.177328;8.909505
010515178105;Schülp;54.244845;8.929496
010515178108;Strübbel;54.261233;8.9672
010515178109;Süderdeich;54.198662;8.90643
010515178121;Warwerort;54.137472;8.928875
010515178127;Wesselburen;54.213418;8.929586
010515178128;Wesselburener Deichhausen;54.181617;8.944286
010515178129;Wesselburenerkoog;54.251008;8.878227
010515178132;Westerdeichstrich;54.157;8.852416
010515178140;Oesterwurth;54.211799;8.969275
010530032032;Geesthacht;53.431655;10.388594
010530083083;Lauenburg/Elbe;53.376349;10.55176
010530090090;Mölln;53.618402;10.700343
010530100100;Ratzeburg;53.71284;10.761622
010530116116;Schwarzenbek;53.50188;10.478382
010530129129;Wentorf bei Hamburg;53.495123;10.257083
010535308008;Behlendorf;53.700585;10.661398
010535308009;Berkenthin;53.736002;10.653208
010535308011;Bliestorf;53.771602;10.584184
010535308024;Düchelsdorf;53.733392;10.57796
010535308034;Göldenitz;53.720852;10.623023
010535308061;Kastorf;53.747214;10.562045
010535308067;Klempau;53.767919;10.671169
010535308075;Krummesse;53.784782;10.651974
010535308094;Niendorf bei Berkenthin;53.704338;10.622234
010535308103;Rondeshagen;53.753354;10.618786
010535308120;Sierksrade;53.73177;10.597747
010535313002;Alt-Mölln;53.620876;10.658332
010535313005;Bälau;53.62033;10.61233
010535313013;Borstorf;53.609086;10.552658
010535313014;Breitenfelde;53.600905;10.624
010535313037;Grambek;53.566922;10.695064
010535313056;Hornbek;53.554664;10.654058
